Date,Description,Card Member,Amount,Category
04/14/2023,SANTA MONICA BREW,ST,26.02,Merchandise & Supplies-Groceries
04/13/2023,AplPay STARBUCKS 800-782-7282,ST,10.0,Restaurant-Bar & Café
04/13/2023,AplPay TST* EMMY,ST,20.82,Restaurant-Restaurant
04/13/2023,MCDONALD'S SANTA MONICA,CT,8.26,Restaurant-Bar & Café
04/12/2023,MARUKAI MARKET LOS,CT,7.32,Merchandise & Supplies-Groceries
04/11/2023,KRYSTAL AND SAAGAR,ST,10.0,Business Services-Office Supplies
04/11/2023,MARUKAI MARKET LOS,CT,6.93,Merchandise & Supplies-Groceries
04/11/2023,TARGET.COM 800-591-3869 MN,ST,89.55,Merchandise & Supplies-Internet Purchase
04/11/2023,TRADER JOE S,CT,12.96,Merchandise & Supplies-Groceries
04/10/2023,AMAZON MARKEPLACE NA,ST,10.94,Merchandise & Supplies-Internet Purchase
04/10/2023,AplPay TARGET ENCINO,ST,35.27,Merchandise & Supplies-Wholesale Stores
04/10/2023,EBAY O*09-09925-2585SAN JOSE,CT,120.44,Merchandise & Supplies-Internet Purchase
04/10/2023,EBAY O*14-09923-0528TORONTO,CT,88.18,Merchandise & Supplies-Internet Purchase
04/10/2023,HARBOR FREIGHT TOOLSWOODLAND,CT,36.11,Merchandise & Supplies-Hardware Supplies
04/10/2023,LA CITY PARKING,CT,1.0,Other-Government Services
04/10/2023,LA CITY PARKING,CT,1.0,Other-Government Services
04/10/2023,LA CITY PARKING,CT,1.0,Other-Government Services
04/10/2023,LA CITY PARKING,CT,1.0,Other-Government Services
04/10/2023,LA CITY PARKING,CT,1.0,Other-Government Services
04/10/2023,LA CITY PARKING,CT,1.0,Other-Government Services
04/10/2023,LA CITY PARKING,CT,1.0,Other-Government Services
04/10/2023,LA CITY PARKING,CT,1.0,Other-Government Services
04/10/2023,ONLINE PAYMENT -,CT,0.0,
04/09/2023,PAYPAL *ROCKAUTOLLC 6086611376,CT,16.03,Transportation-Auto Services
04/09/2023,"PEACOCK TV, LLC",CT,0.0,Communications-Cable & Internet Comm
04/09/2023,"PEACOCK TV, LLC",CT,0.0,Communications-Cable & Internet Comm
04/08/2023,AMAZON MARKEPLACE NA,ST,12.44,Merchandise & Supplies-Internet Purchase
04/08/2023,AMAZON.COM AMZN.COM/BILL WA,ST,34.45,Merchandise & Supplies-Internet Purchase
04/08/2023,CHEVRON 0202034/CHEVNORTH HOLLYWOOD,CT,66.57,Transportation-Fuel
04/08/2023,PEACOCK*E9BAD PREMIUNEW YORK,ST,4.99,Communications-Cable & Internet Comm
04/08/2023,PEACOCK*X1750 PREMPLNEW YORK,ST,5.0,Communications-Cable & Internet Comm
04/08/2023,TARGET NORTH HOLLYWOOD,CT,20.79,Merchandise & Supplies-Wholesale Stores
04/07/2023,MARUKAI MARKET LOS,CT,8.43,Merchandise & Supplies-Groceries
04/07/2023,O'REILLY AUTO PARTS,CT,35.03,Transportation-Auto Services
04/07/2023,UNION 76 10194413,CT,11.16,Transportation-Fuel
04/06/2023,MARUKAI MARKET LOS,CT,9.26,Merchandise & Supplies-Groceries
04/06/2023,PAYPAL *NESPRESSOUS 8005621465,ST,64.5,Merchandise & Supplies-General Retail
04/05/2023,1691 W ADAMS,ST,15.0,Transportation-Fuel
04/05/2023,AplPay USC HOSP,ST,3.27,Other-Miscellaneous
